Target(SIN(0.01*x)+2*COS(0.01*x*x)+LOG(0.01*x)),Input1(x),Input2(x*x),Input3(sin(x)),Input4(cos(x)),Input5(log(x))
226.4616017,136,18496,-0.790433207,-0.612548239,2.133538908
550.2044683,137,18769,-0.942514455,0.334165383,2.136720567
339.1710916,138,19044,-0.22805226,0.973648893,2.139879086
413.0819221,139,19321,0.696080131,0.717964101,2.1430148
481.6510681,140,19600,0.980239659,-0.197813574,2.146128036
287.6971212,141,19881,0.363171365,-0.931722362,2.149219113
581.5977476,142,20164,-0.587795007,-0.809009907,2.152288344
222.6950217,143,20449,-0.998345361,0.057502525,2.155336037
614.9599285,144,20736,-0.491021594,0.871147401,2.158362492
220.9850441,145,21025,0.467745162,0.883863374,2.161368002
594.2894631,146,21316,0.996469173,0.083959437,2.164352856
260.6961817,147,21609,0.609044022,-0.793136419,2.167317335
545.3523026,148,21904,-0.338333394,-0.941026309,2.170261715
316.2797954,149,22201,-0.974648648,-0.22374095,2.173186268
490.8224981,150,22500,-0.71487643,0.699250806,2.176091259
369.2923679,151,22801,0.202149881,0.979354596,2.178976947
444.5651195,152,23104,0.933320524,0.359044287,2.181843588
410.1188321,153,23409,0.806400581,-0.591369684,2.184691431
412.6565082,154,23716,-0.061920337,-0.998081095,2.187520721
435.3608821,155,24025,-0.873311983,-0.48716135,2.190331698
396.6691185,156,24336,-0.881784619,0.471652294,2.193124598
444.5295052,157,24649,-0.079548543,0.996830993,2.195899652
396.5911084,158,24964,0.795824097,0.605527875,2.198657087
437.740128,159,25281,0.939519732,-0.342494779,2.201397124
412.4112066,160,25600,0.219425258,-0.975629313,2.204119983
414.8853155,161,25921,-0.702407786,-0.711774756,2.206825876
444.1797919,162,26244,-0.978450351,0.206482229,2.209515015
376.3402563,163,26569,-0.354910176,0.934900405,2.212187604
490.5432861,164,26896,0.594932778,0.80377546,2.214843848
325.1576685,165,27225,0.997797279,-0.066336936,2.217483944
545.9111494,166,27556,0.483291564,-0.875459459,2.220108088
270.3354805,167,27889,-0.475550187,-0.879688592,2.222716471
597.1306396,168,28224,-0.997173289,-0.075136091,2.225309282
229.590275,169,28561,-0.601999868,0.798496186,2.227886705
622.1410244,170,28900,0.346649455,0.937994752,2.230448921
228.15457,171,29241,0.976590868,0.215105269,2.23299611
594.9738503,172,29584,0.70865914,-0.705551007,2.235528447
288.8536237,173,29929,-0.210810533,-0.97752694,2.238046103
501.1899195,174,30276,-0.936461974,-0.350769113,2.240549248
411.6512858,175,30625,-0.801134595,0.598484219,2.243038049
361.1603239,176,30976,0.070752236,0.99749392,2.245512668
551.89735,177,31329,0.877589788,0.479412311,2.247973266
243.72741,178,31684,0.877575336,-0.479438766,2.250420002
622.7871,179,32041,0.070722167,-0.997496053,2.252853031
239.965978,180,32400,-0.801152636,-0.598460069,2.255272505
549.6768656,181,32761,-0.9364514,0.350797342,2.257678575
383.5713981,182,33124,-0.210781066,0.977533295,2.260071388
361.8199923,183,33489,0.708680408,0.705529644,2.26245109
571.647036,184,33856,0.976584383,-0.215134707,2.264817823
226.206103,185,34225,0.34662118,-0.938005201,2.267171728
608.1725194,186,34596,-0.602023938,-0.798478039,2.269512944
310.2124657,187,34969,-0.997171023,0.07516615,2.271841607
420.5081524,188,35344,-0.475523669,0.879702927,2.274157849
541.9108848,189,35721,0.483317954,0.87544489,2.276461804
230.4696271,190,36100,0.997799279,0.066306858,2.278753601
607.7460685,191,36481,0.594908548,-0.803793393,2.281033367
326.9124943,192,36864,-0.354938358,-0.934889706,2.283301229
380.2329625,193,37249,-0.978456575,-0.206452734,2.285557309
583.5152915,194,37636,-0.702386329,0.711795929,2.28780173
223.2735253,195,38025,0.219454668,0.975622698,2.290034611
548.2968593,196,38416,0.939530056,0.342466458,2.292256071
442.208428,197,38809,0.795805843,-0.605551864,2.294466226
263.2993297,198,39204,-0.079578592,-0.996828595,2.29666519
618.36637,199,39601,-0.881798836,-0.471625713,2.298853076
315.9734745,200,40000,-0.873297297,0.487187675,2.301029996
358.7999541,201,40401,-0.061890251,0.998082961,2.303196057
607.2928279,202,40804,0.806418407,0.591345375,2.305351369
248.9886905,203,41209,0.9333097,-0.359072421,2.307496038
440.326849,204,41616,0.202120359,-0.97936069,2.309630167
569.8214562,205,42025,-0.714897508,-0.699229257,2.311753861
225.6295927,206,42436,-0.974641903,0.22377033,2.31386722
485.5998764,207,42849,-0.338305028,0.941036507,2.315970345
543.475118,208,43264,0.60906793,0.79311806,2.318063335
220.4881476,209,43681,0.996466642,-0.083989475,2.320146286
495.2769877,210,44100,0.467718518,-0.883877473,2.322219295
543.1631974,211,44521,-0.491047854,-0.871132599,2.324282455
221.6122913,212,44944,-0.998347094,-0.057472431,2.326335861
470.9787168,213,45369,-0.58777062,0.809027625,2.328379603
568.6168195,214,45796,0.363199451,0.931711414,2.330413773
235.6339485,215,46225,0.980245622,0.197784025,2.33243846
409.8867849,216,46656,0.696058488,-0.717985084,2.334453751
604.1744732,217,47089,-0.228081609,-0.973642018,2.336459734
285.2941927,218,47524,-0.942524527,-0.334136971,2.338456494
316.6026915,219,47961,-0.790414741,0.612572066,2.340444115
611.3118465,220,48400,0.088398712,0.996085171,2.342422681
393.2063756,221,48841,0.885938798,0.463802163,2.344392274
229.3135773,222,49284,0.868950838,-0.494898415,2.346352974
535.3032177,223,49729,0.053053485,-0.998591672,2.348304863
538.5875294,224,50176,-0.811620997,-0.584184352,2.350248018
233.2489827,225,50625,-0.930094878,0.367319368,2.352182518
362.8740177,226,51076,-0.193443817,0.981111354,2.354108439
611.6648575,227,51529,0.721058597,0.692874086,2.356025857
392.9920301,228,51984,0.972623062,-0.232388421,2.357934847
216.7591479,229,52441,0.32996237,-0.943994086,2.359835482
480.8914816,230,52900,-0.616064204,-0.787695942,2.361727836
589.405484,231,53361,-0.99568419,0.092806219,2.36361198
306.4065958,232,53824,-0.459876723,0.88798277,2.365487985
244.8338175,233,54289,0.498739282,0.866752057,2.367355921
529.473603,234,54756,0.998816691,0.048633501,2.369215857
564.9803148,235,55225,0.580586641,-0.814198472,2.371067862
283.1128928,236,55696,-0.371432089,-0.928460125,2.372912003
248.6033782,237,56169,-0.98195787,-0.18909982,2.374748346
522.4606801,238,56644,-0.689676113,0.724117987,2.376576957
575.5856924,239,57121,0.236690681,0.971585056,2.378397901
312.8123509,240,57600,0.945445155,0.325781306,2.380211242
219.6206174,241,58081,0.784961713,-0.619544275,2.382017043
457.2132094,242,58564,-0.097211908,-0.995263706,2.383815366
602.1921145,243,59049,-0.890009349,-0.455942276,2.385606274
408.9201645,244,59536,-0.864536299,0.50257038,2.387389826
206.9136445,245,60025,-0.044212563,0.999022147,2.389166084
323.5844261,246,60516,0.81676,0.576977559,2.390935107
564.1495208,247,61009,0.926807186,-0.375537536,2.392696953
552.2730097,248,61504,0.184752119,-0.982785152,2.394451681
312.4538413,249,62001,-0.727163193,-0.686464631,2.396199347
202.7637639,250,62500,-0.97052802,0.240988305,2.397940009
374.9344048,251,63001,-0.32159386,0.946877705,2.399673721
579.4693697,252,63504,0.623012211,0.78221211,2.401400541
537.8003065,253,64009,0.994823729,-0.101615692,2.403120521
312.3817327,254,64516,0.451998898,-0.892018495,2.404833717
196.7784459,255,65025,-0.506391635,-0.862303608,2.40654018
329.452239,256,65536,-0.999208034,-0.03979076,2.408239965
540.670434,257,66049,-0.573357175,0.819305529,2.409933123
580.3227567,258,66564,0.379635627,0.925136093,2.411619706
409.7110613,259,67081,0.983593184,0.1804008,2.413299764
223.3397969,260,67600,0.683239704,-0.730194157,2.414973348
218.3559018,261,68121,-0.245281209,-0.969451973,2.416640507
391.2552555,262,68644,-0.94829171,-0.317400116,2.418301291
562.5334232,263,69169,-0.779447185,0.626467944,2.419955748
568.2318978,264,69696,0.106017486,0.994364266,2.421603927
410.2985055,265,70225,0.89401017,0.448046667,2.423245874
236.0520325,266,70756,0.860054026,-0.510202971,2.424881637
194.3752589,267,71289,0.035368177,-0.99937435,2.426511261
312.0392211,268,71824,-0.821835011,-0.569725561,2.428134794
487.2221018,269,72361,-0.92344688,0.383726282,2.42975228
583.6134805,270,72900,-0.176045946,0.984381951,2.431363764
535.1357749,271,73441,0.733210819,0.680001394,2.432969291
383.3643276,272,73984,0.968356938,-0.249569309,2.434568904
234.9277292,273,74529,0.313200155,-0.94968714,2.436162647
183.5135306,274,75076,-0.629911407,-0.776666994,2.437750563
253.7204052,275,75625,-0.993885326,0.110417204,2.439332694
396.5597564,276,76176,-0.44408566,0.895984334,2.440909082
528.0637378,277,76729,0.514004314,0.857787599,2.442479769
579.7741783,278,77284,0.999521092,0.030944902,2.444044796
531.324917,279,77841,0.566082788,-0.824348396,2.445604203
412.5699651,280,78400,-0.387809421,-0.92173958,2.447158031
281.4435209,281,78961,-0.985151436,-0.171687645,2.44870632
193.7758356,282,79524,-0.676749765,0.736213119,2.450249108
180.4890616,283,80089,0.25385252,0.967242936,2.451786436
239.9593057,284,80656,0.951063968,0.308994059,2.45331834
344.6810744,285,81225,0.77387159,-0.633342531,2.45484486
455.8686274,286,81796,-0.114814759,-0.993386919,2.456366033
538.4991241,287,82369,-0.897940948,-0.440115955,2.457881897
571.4467938,288,82944,-0.855504371,0.517795589,2.459392488
550.755523,289,83521,-0.02652102,0.999648256,2.460897843
487.016282,290,84100,0.826845634,0.562428927,2.462397998
399.3839311,291,84681,0.920014225,-0.391884964,2.463892989
308.9531737,292,85264,0.167325981,-0.985901626,2.465382851
233.4834359,293,85849,-0.739200999,-0.67348488,2.46686762
184.4050727,294,86436,-0.966109989,0.258130759,2.46834733
166.107606,295,87025,-0.304781911,0.952422168,2.469822016
176.9298053,296,87616,0.636761251,0.771061029,2.471291711
211.0653407,297,88209,0.992869055,-0.119210065,2.472756449
260.6705323,298,88804,0.436137629,-0.899879974,2.474216264
317.6787149,299,89401,-0.521576722,-0.853204386,2.475671188
375.0734667,300,90000,-0.99975584,-0.022096619,2.477121255
427.5774374,301,90601,-0.55876405,0.829326677,2.478566496
471.8448641,302,91204,0.395952831,0.918270851,2.480006943
506.3053991,303,91809,0.986632505,0.162961039,2.481442629
530.8123719,304,92416,0.670206804,-0.7421744,2.482873584
546.2222643,305,93025,-0.262403942,-0.964958119,2.484299839
553.9932276,306,93636,-0.953761713,-0.300563793,2.485721426
555.8520953,307,94249,-0.768235364,0.640167498,2.487138375
553.5485782,308,94864,0.123603036,0.992331744,2.488550717
548.6944315,309,95481,0.901801375,0.432150761,2.489958479
542.6736541,310,96100,0.850887689,-0.525347639,2.491361694
536.6051036,311,96721,0.017671785,-0.999843842,2.492760389
531.3388887,312,97344,-0.831791476,-0.555088228,2.494154594
527.4704434,313,97969,-0.91650949,0.400012943,2.495544338
525.3598026,314,98596,-0.158592906,0.987344059,2.496929648
525.1473619,315,99225,0.745133265,0.6669156,2.498310554
526.7609152,316,99856,0.963787348,-0.266671985,2.499687083
529.9119631,317,100489,0.296339788,-0.955082577,2.501059262
534.0823239,318,101124,-0.643561206,-0.765394653,2.50242712
538.5052067,319,101761,-0.991774996,0.127993586,2.503790683
542.1483071,320,102400,-0.428155428,0.903705112,2.505149978
543.7101981,321,103041,0.529108265,0.848554326,2.506505032
541.6450193,322,103684,0.99991226,0.013246606,2.507855872
534.2334882,323,104329,0.551401534,-0.834239983,2.509202522
519.7192519,324,104976,-0.404065219,-0.914730178,2.51054501
496.5266596,325,105625,-0.988036273,-0.154221666,2.511883361
463.5668107,326,106276,-0.663611334,0.748077534,2.5132176
420.6209293,327,106929,0.270934805,0.9625977,2.514547753
368.7624247,328,107584,0.956384734,0.292109979,2.515873844
310.7425452,329,108241,0.762538949,-0.646942309,2.517195898
251.2246446,330,108900,-0.132381629,-0.991198822,2.51851394
196.7198945,331,109561,-0.905591148,-0.424151709,2.519827994
155.0702636,332,110224,-0.846204342,0.532858529,2.521138084
134.3645627,333,110889,-0.008821166,0.999961093,2.522444234
141.2806202,334,111556,0.836672149,0.54770404,2.523746467
179.0293025,335,112225,0.912932949,-0.408109582,2.525044807
245.3157604,336,112896,0.149847406,-0.988709136,2.526339277
330.9714808,337,113569,-0.751007151,-0.66029407,2.527629901
420.0442136,338,114244,-0.961389197,0.275192319,2.5289167
492.0292808,339,114921,-0.287874449,0.957668159,2.530199698
526.4691898,340,115600,0.65031074,0.75966831,2.531478917
509.3149959,341,116281,0.990603233,-0.136767079,2.532754379
439.3867263,342,116964,0.420139682,-0.907459447,2.534026106
332.3749806,343,117649,-0.536598355,-0.843837784,2.53529412
219.6561825,344,118336,-0.99999034,-0.004395554,2.536558443
140.2930432,345,119025,-0.543995817,0.839087928,2.537819095
127.1303636,346,119716,0.41214595,0.911117838,2.539076099
191.2939365,347,120409,0.989362632,0.14547021,2.540329475
312.1686468,348,121104,0.656963873,-0.753922058,2.541579244
440.0376892,349,121801,-0.279444442,-0.960161863,2.542825427
514.4583121,350,122500,-0.958932825,-0.283633279,2.544068044
493.4867784,351,123201,-0.756782791,0.653666434,2.545307116
380.3010016,352,123904,0.141149851,0.989988242,2.546542663
230.1807921,353,124609,0.909309971,0.416119426,2.547774705
127.2540175,354,125316,0.841454697,-0.540327671,2.549003262
137.1164313,355,126025,-3.01E-05,-1,2.550228353
260.6602814,356,126736,-0.841487271,-0.54027694,2.551449998
422.3536819,357,127449,-0.909284882,0.416174247,2.552668216
511.2559969,358,128164,-0.141090165,0.98999675,2.553883027
457.5346066,359,128881,0.756822199,0.653620807,2.555094449
292.7989535,360,129600,0.958915723,-0.283691091,2.556302501
140.1987579,361,130321,0.279386554,-0.960178709,2.557507202
125.3014743,362,131044,-0.657009324,-0.75388245,2.558708571
267.7448475,363,131769,-0.98935386,0.145529857,2.559906625
448.7778447,364,132496,-0.41209102,0.911142685,2.561101384
502.9580585,365,133225,0.544046404,0.83905513,2.562292864
371.4682236,366,133956,0.999990073,-0.004455842,2.563481085
174.5429084,367,134689,0.53654748,-0.843870133,2.564666064
109.851598,368,135424,-0.420194391,-0.907434115,2.565847819
251.143418,369,136161,-0.990611477,-0.136707357,2.567026366
452.2835595,370,136900,-0.65026494,0.759707515,2.568201724
487.9057732,371,137641,0.287932185,0.957650801,2.56937391
308.6969224,372,138384,0.961405786,0.275134357,2.57054294
120.3391893,373,139129,0.750967342,-0.660339346,2.571708832
154.7897966,374,139876,-0.149907013,-0.9887001,2.572871602
375.7826391,375,140625,-0.912957552,-0.408054541,2.574031268
499.3574541,376,141376,-0.836639127,0.54775448,2.575187845
354.2494283,377,142129,0.008881452,0.999960559,2.57634135
131.3772117,378,142884,0.846236466,0.532807511,2.5774918
144.7820194,379,143641,0.905565575,-0.424206305,2.57863921
381.6502099,380,144400,0.132321871,-0.991206801,2.579783597
492.3595169,381,145161,-0.762577951,-0.646896335,2.580924976
301.4075915,382,145924,-0.956367122,0.292167638,2.582063363
100.2290363,383,146689,-0.270876771,0.962614032,2.583198774
212.9920964,384,147456,0.663656434,0.748037525,2.584331224
460.5859486,385,148225,0.988026974,-0.154281233,2.58546073
425.5740431,386,148996,0.404010071,-0.914754537,2.586587305
160.1605614,387,149769,-0.551451828,-0.834206738,2.587710965
128.4622635,388,150544,-0.999911459,0.013306889,2.588831726
392.5952493,389,151321,-0.529057106,0.848586223,2.589949601
468.7199166,390,152100,0.428209911,0.903679297,2.591064607
207.222714,391,152881,0.99178271,0.127933793,2.592176757
104.994778,392,153664,0.64351506,-0.765433451,2.593286067
365.8856703,393,154449,-0.296397369,-0.95506471,2.59439255
471.090842,394,155236,-0.963803424,-0.266613879,2.595496222
200.4833336,395,156025,-0.745093056,0.666960522,2.596597096
111.7545187,396,156816,0.158652431,0.987334495,2.597695186
396.0130296,397,157609,0.916533605,0.399957687,2.598790507
441.4835933,398,158404,0.831758009,-0.555138375,2.599883072
142.5370986,399,159201,-0.017732065,-0.999842775,2.600972896
164.8530568,400,160000,-0.85091936,-0.525296339,2.602059991
460.8784124,401,160801,-0.90177532,0.432205129,2.603144373
344.3515894,402,161604,-0.123543209,0.992339194,2.604226053
84.2082936,403,162409,0.768273958,0.640121181,2.605305046
302.8918379,404,163216,0.953743591,-0.300621294,2.606381365
470.5347878,405,164025,0.262345765,-0.964973937,2.607455023
169.3447259,406,164836,-0.670251547,-0.742133993,2.608526034
152.0301406,407,165649,-0.986622678,0.163020522,2.609594409
464.2950663,408,166464,-0.395897469,0.918294721,2.610660163
297.5183576,409,167281,0.558814048,0.829292988,2.611723308
85.5661964,410,168100,0.999754506,-0.022156893,2.612783857
392.5651605,411,168921,0.521525282,-0.853235829,2.613841822
389.9387846,412,169744,-0.436191881,-0.899853679,2.614897216
81.8630419,413,170569,-0.99287624,-0.119150206,2.615950052
321.5206592,414,171396,-0.636714763,0.771099417,2.617000341
435.5444552,415,172225,0.304839331,0.952403792,2.618048097
97.354685,416,173056,0.96612555,0.258072513,2.619093331
280.0588458,417,173889,0.739160394,-0.673529444,2.620136055
450.0672296,418,174724,-0.167385419,-0.985891536,2.621176282
104.0468717,419,175561,-0.92003785,-0.391829497,2.622214023
274.3123563,420,176400,-0.826811724,0.562478775,2.62324929
445.1071349,421,177241,0.026581288,0.999646655,2.624282096
93.7196526,422,178084,0.855535586,0.51774401,2.625312451
304.5226634,423,178929,0.897914412,-0.44017009,2.626340367
417.4091954,424,179776,0.114754869,-0.993393839,2.627365857
76.0818313,425,180625,-0.773909772,-0.633295874,2.62838893
367.1683961,426,181476,-0.951045338,0.309051397,2.629409599
351.3879776,427,182329,-0.253794206,0.967258239,2.630427875
80.7838974,428,183184,0.676794149,0.736172317,2.631443769
441.1345597,429,184041,0.985141084,-0.171747038,2.632457292
237.3570873,430,184900,0.38775385,-0.921762959,2.633468456
151.6664888,431,185761,-0.566132486,-0.824314266,2.63447727
469.356612,432,186624,-0.999519224,0.031005162,2.635483747
110.5493512,433,187489,-0.513952598,0.857818586,2.636487896
305.4647313,434,188356,0.444139677,0.895957559,2.63748973
376.5086758,435,189225,0.993891981,0.110357284,2.638489257
78.8173337,436,190096,0.629864581,-0.776704969,2.639486489
454.1943607,437,190969,-0.31325741,-0.949668255,2.640481437
174.1423323,438,191844,-0.968371983,-0.249510927,2.641474111
238.1088013,439,192721,-0.733169821,0.680045597,2.64246452
411.5188361,440,193600,0.176105293,0.984371335,2.643452676
71.669475,441,194481,0.923470013,0.383670608,2.644438589
450.5269698,442,195364,0.821800662,-0.569775107,2.645422269
161.4524568,443,196249,-0.035428428,-0.999372216,2.646403726
270.5471386,444,197136,-0.860084784,-0.510151118,2.64738297
368.3572867,445,198025,-0.893983156,0.448100565,2.648360011
95.727581,446,198916,-0.105957537,0.994370655,2.649334859
467.8165987,447,199809,0.779484953,0.626420951,2.650307523
86.6705955,448,200704,0.948272572,-0.317457287,2.651278014
393.1833319,449,201601,0.245222762,-0.969466759,2.652246341
219.3413232,450,202500,-0.683283725,-0.730152964,2.653212514
233.3772385,451,203401,-0.983582306,0.180460099,2.654176542
374.6144176,452,204304,-0.379579851,0.925158979,2.655138435
105.6626706,453,205209,0.573406569,0.819270961,2.656098202
459.660935,454,206116,0.999205633,-0.039851001,2.657055853
67.471373,455,207025,0.506339647,-0.862334136,2.658011397
453.2054339,456,207936,-0.452052676,-0.891991243,2.658964843
110.1294082,457,208849,-0.994829853,-0.101555715,2.6599162
384.2896238,458,209764,-0.622965051,0.782249669,2.660865478
194.2099822,459,210681,0.321650946,0.946858315,2.661812686
294.2899595,460,211600,0.970542547,0.240929793,2.662757832
282.364371,461,212521,0.727121806,-0.68650847,2.663700925
213.1189001,462,213444,-0.18481137,-0.982774011,2.664641976
353.3472409,463,214369,-0.926829824,-0.375481659,2.665580991
153.6941887,464,215296,-0.816725213,0.577026799,2.666517981
